Date,Open,High,Low,Close,Volume
2021-01-04,6.691,7.3507,6.691,7.1622,23395409
2021-01-05,7.0774,7.3884,6.9172,7.1622,25374811
2021-01-06,7.0774,7.0774,6.7664,6.823,14183974
2021-01-07,6.8984,6.9832,6.6062,6.6816,11554045
2021-01-08,6.5591,6.6439,6.4554,6.4743,8600514
2021-01-11,6.4366,6.4649,6.267,6.2764,7452900
2021-01-12,6.2764,6.3706,6.2481,6.3329,4599535
2021-01-13,6.3329,6.4272,6.2198,6.3895,5517601
2021-01-14,6.3895,6.5403,6.3424,6.3989,5462181
2021-01-15,6.3612,6.5874,6.3518,6.4837,5665908
2021-01-18,6.4554,6.5874,6.446,6.512,4324300
2021-01-19,6.5026,6.5403,6.4554,6.4649,3562911
2021-01-20,6.4837,6.5026,6.3989,6.446,3192276
2021-01-21,6.5214,6.5403,6.4178,6.5308,4365053
2021-01-22,6.512,6.5403,6.3989,6.4178,3609915
2021-01-25,6.3612,6.3895,6.2293,6.2387,4880692
2021-01-26,6.2387,6.2952,6.201,6.2104,2640900
2021-01-27,6.2481,6.3047,6.2104,6.267,2063158
2021-01-28,6.267,6.267,6.1445,6.1539,2390591
2021-01-29,6.2387,6.3329,6.1727,6.2198,3391530
2021-02-01,6.2198,6.2764,6.1445,6.1727,3156301
2021-02-02,6.1822,6.2198,6.1162,6.1727,1923100
2021-02-03,6.135,6.1727,6.0314,6.0314,3416846
2021-02-04,6.0314,6.0314,5.7958,5.8523,2917145
2021-02-05,5.8523,5.9654,5.8523,5.8617,1825488
2021-02-08,5.8712,5.9654,5.8712,5.9371,1227496
2021-02-09,6.0125,6.0314,5.9371,6.0125,1743805
2021-02-10,6.1162,6.1445,5.9748,6.0125,2205121
2021-02-18,6.0219,6.1822,6.0219,6.1727,3111956
2021-02-19,6.1727,6.3141,6.1068,6.2952,3760622
2021-02-22,6.267,6.4554,6.267,6.3329,5365836
2021-02-23,6.3612,6.3989,6.2764,6.3329,2802801
2021-02-24,6.3329,6.3518,6.2575,6.2858,2644496
2021-02-25,6.2858,6.3612,6.2764,6.3235,2622290
2021-02-26,6.2575,6.3235,6.1633,6.2387,2978486
2021-03-01,6.2575,6.3141,6.2481,6.3141,2141300
2021-03-02,6.3047,6.3895,6.2387,6.267,3273600
2021-03-03,6.2293,6.3989,6.2293,6.3895,3933211
2021-03-04,6.3518,6.5591,6.3518,6.4366,5701001
2021-03-05,6.4272,6.512,6.4083,6.5026,4748432
2021-03-08,6.4931,6.5403,6.3424,6.3706,4902700
2021-03-09,6.3895,6.6439,6.2293,6.4272,8718200
2021-03-10,6.4083,6.4178,6.2764,6.2952,4163200
2021-03-11,6.3047,6.5214,6.3047,6.512,5207627
2021-03-12,6.5214,6.5874,6.4272,6.5685,5375976
2021-03-15,6.5968,6.7287,6.5591,6.691,8548163
2021-03-16,6.6816,6.691,6.6062,6.6251,4282200
2021-03-17,6.6345,6.7759,6.6251,6.757,6989564
2021-03-18,6.6816,6.7005,6.5497,6.5591,6502950
2021-03-19,6.4743,6.5497,6.4178,6.4743,6439375
2021-03-22,6.4837,6.8513,6.4837,6.8041,11099597
2021-03-23,6.7853,6.8041,6.6439,6.6628,7107941
2021-03-24,6.6345,6.7287,6.5591,6.578,5554344
2021-03-25,6.5308,6.7664,6.512,6.691,7057800
2021-03-26,6.6439,6.6816,6.5685,6.6439,5525974
2021-03-29,6.6439,6.691,6.5685,6.5968,4037801
2021-03-30,6.5874,6.5874,6.4272,6.4554,4995157
2021-03-31,6.578,6.9266,6.5497,6.7287,16501855
2021-04-01,6.6816,6.8795,6.578,6.8418,12240017
2021-04-02,6.7853,6.823,6.578,6.6628,11577310
2021-04-06,6.6157,6.6628,6.5308,6.6251,5051239
2021-04-07,6.7382,6.8513,6.6722,6.7005,7176877
2021-04-08,6.6345,6.691,6.5403,6.5685,7408711
2021-04-09,6.5497,6.6722,6.5308,6.5685,3838700
2021-04-12,6.6439,6.6816,6.5874,6.6157,4489824
2021-04-13,6.6157,6.6157,6.4931,6.5026,3506002
2021-04-14,6.4649,6.5685,6.4649,6.5591,2602401
2021-04-15,6.5403,6.5497,6.4554,6.5214,3208454
2021-04-16,6.5214,6.6722,6.5026,6.6345,5000591
2021-04-19,6.5968,6.7005,6.5968,6.6816,5177354
2021-04-20,6.6439,6.7193,6.6062,6.6062,4114263
2021-04-21,6.5968,6.6157,6.5214,6.5497,3182967
2021-04-22,6.5497,6.6062,6.5214,6.5403,2641075
2021-04-23,6.5403,6.5685,6.4366,6.4931,3375862
2021-04-26,6.4931,6.5308,6.4554,6.4743,2394112
2021-04-27,6.4743,6.4837,6.2952,6.3801,3536900
2021-04-28,6.3141,6.4272,6.3047,6.4083,2212792
2021-04-29,6.4272,6.4649,6.3706,6.4554,2902212
2021-04-30,6.4366,6.446,6.3612,6.3706,2126901
2021-05-06,6.3801,6.4554,6.3706,6.4083,2146947
2021-05-07,6.4272,6.4837,6.3989,6.4554,2486345
2021-05-10,6.5026,6.5026,6.4272,6.446,2256300
2021-05-11,6.4366,6.4931,6.3989,6.4743,2476102
2021-05-12,6.4554,6.5685,6.446,6.5591,3329163
2021-05-13,6.5308,6.5874,6.5026,6.5403,2249701
2021-05-14,6.5591,6.5968,6.5308,6.5685,3412302
2021-05-17,6.5214,6.5874,6.4554,6.5308,3331902
2021-05-18,6.5308,6.5403,6.4743,6.5308,1960680
2021-05-19,6.512,6.5214,6.3895,6.3989,4272800
2021-05-20,6.3612,6.4083,6.3141,6.3329,3381700
2021-05-21,6.3518,6.3612,6.3141,6.3424,2041400
2021-05-24,6.3329,6.4272,6.3047,6.4083,2978446
2021-05-25,6.4272,6.446,6.3612,6.4366,2288723
2021-05-26,6.446,6.4931,6.4366,6.4554,2945901
