Date,Open,High,Low,Close,Volume
2021-01-04,3.9048,4.0356,3.8874,3.992,32795789
2021-01-05,4.053,4.114,4.0094,4.0704,38888841
2021-01-06,4.0791,4.2535,4.0791,4.1227,32072578
2021-01-07,4.1489,4.175,4.0356,4.053,29967247
2021-01-08,4.0181,4.3145,3.9135,4.2883,52760454
2021-01-11,4.3145,4.5498,4.3145,4.4103,61166160
2021-01-12,4.3668,4.4626,4.3058,4.4365,37465942
2021-01-13,4.4191,4.6195,4.3406,4.5934,61172067
2021-01-14,4.5411,4.7939,4.5411,4.637,60171452
2021-01-15,4.698,4.82,4.5672,4.637,49598433
2021-01-18,4.6195,4.8636,4.6195,4.8026,55360468
2021-01-19,4.7764,4.8287,4.5585,4.6282,51633905
2021-01-20,4.5934,4.6457,4.5411,4.6195,28799834
2021-01-21,4.637,4.7851,4.576,4.7416,46601528
2021-01-22,4.7154,4.7851,4.5149,4.5411,50492118
2021-01-25,4.5324,4.5324,4.3406,4.3581,46446650
2021-01-26,4.3406,4.6108,4.2273,4.3058,50168760
2021-01-27,4.2796,4.3232,4.2186,4.2447,31919040
2021-01-28,4.2622,4.5149,4.2535,4.3581,57032066
2021-01-29,4.3581,4.4539,4.1663,4.2099,40825669
2021-02-01,4.2012,4.5324,4.175,4.4801,51814459
2021-02-02,4.4888,4.6631,4.4103,4.6108,47626491
2021-02-03,4.637,4.6544,4.4626,4.4714,32332269
2021-02-04,4.4365,4.4452,4.2273,4.3755,30216050
2021-02-05,4.3755,4.5411,4.3145,4.3232,28292602
2021-02-08,4.2535,4.3929,4.2012,4.3145,24583304
2021-02-09,4.2796,4.7503,4.2709,4.7503,65148788
2021-02-10,4.8549,4.8549,4.6893,4.7503,73509328
2021-02-18,4.759,4.8897,4.5934,4.7241,63402927
2021-02-19,4.698,4.9943,4.6457,4.9769,88563590
2021-02-22,4.9682,5.2994,4.9246,5.1251,104991382
2021-02-23,5.0379,5.1686,4.9072,5.0292,67219553
2021-02-24,4.9682,5.0641,4.759,4.8113,59157005
2021-02-25,4.8549,5.003,4.7764,4.881,47469522
2021-02-26,4.6718,4.8636,4.6021,4.7154,37120527
2021-03-01,4.759,4.759,4.4103,4.5585,102242328
2021-03-02,4.5411,4.6893,4.4626,4.4975,58390960
2021-03-03,4.5062,4.6108,4.4714,4.5934,42342224
2021-03-04,4.576,4.8287,4.5411,4.7328,75317888
