Date,Open,High,Low,Close,Volume
2021-01-04,9.1222,9.2361,9.0696,9.166,9513304
2021-01-05,9.131,9.3501,9.0521,9.2712,11531927
2021-01-06,9.2011,9.2274,9.0696,9.1047,5768583
2021-01-07,9.0784,9.2098,8.8681,8.9207,5557647
2021-01-08,8.9908,8.9995,8.8155,8.9119,5619605
2021-01-11,8.9119,8.947,8.6315,8.6403,7785710
2021-01-12,8.649,8.8068,8.5964,8.7104,5617744
2021-01-13,8.7104,8.7454,8.5439,8.5789,6729426
2021-01-14,8.5789,8.7279,8.5702,8.6403,4267550
2021-01-15,8.7191,8.7191,8.5964,8.6665,3000180
2021-01-18,8.6665,8.8418,8.6578,8.7805,4483455
2021-01-19,8.7717,8.8418,8.6578,8.7191,4143978
2021-01-20,8.7104,8.7191,8.5439,8.5964,4366973
2021-01-21,8.5877,8.6753,8.5614,8.6227,3477057
2021-01-22,8.6403,8.7367,8.5088,8.6665,4851732
2021-01-25,8.7191,8.7367,8.5526,8.5702,3685302
2021-01-26,8.5702,8.5702,8.2897,8.3336,5433693
2021-01-27,8.2372,8.3248,8.1408,8.1495,6391236
2021-01-28,8.1145,8.1145,7.8604,7.9305,6662249
2021-01-29,7.9918,8.0181,7.7815,7.799,5041530
2021-02-01,7.799,7.8691,7.6851,7.799,5259370
2021-02-02,7.8078,7.8428,7.6325,7.6588,6749231
2021-02-03,7.6588,7.6676,7.4485,7.5098,7214370
2021-02-04,7.5098,7.5274,7.1681,7.2732,7834432
2021-02-05,7.3521,7.5537,7.3258,7.3696,7145983
2021-02-08,7.4222,7.6851,7.4222,7.4836,8998414
2021-02-09,7.4748,7.6413,7.4222,7.6238,4699950
2021-02-10,7.6238,7.7552,7.5537,7.7114,4562360
2021-02-18,7.9567,8.4825,7.9567,8.4825,11609810
2021-02-19,8.7629,9.0171,8.5702,8.6665,22706838
2021-02-22,8.6665,8.9557,8.4913,8.6753,15832291
2021-02-23,8.5789,8.8506,8.5789,8.7892,9742345
2021-02-24,8.8418,9.0258,8.6841,8.7542,11965119
2021-02-25,8.8506,8.8506,8.5439,8.5964,8450110
2021-02-26,8.5439,8.5702,8.4299,8.4562,6386026
2021-03-01,8.5263,8.8243,8.5001,8.8243,8443124
2021-03-02,8.8593,8.8681,8.649,8.7104,5184192
2021-03-03,8.7016,8.7892,8.614,8.7542,4433754
2021-03-04,8.7542,9.2712,8.7542,9.0521,16598236
2021-03-05,9.1047,9.3763,8.947,9.1047,12683502
2021-03-08,9.3413,9.9284,9.2537,9.5867,21965324
2021-03-09,9.5341,10.0423,9.1573,9.2449,29485658
2021-03-10,9.0609,9.0609,8.6403,8.8243,15843574
2021-03-11,8.7629,9.4202,8.7191,9.1836,15289896
2021-03-12,9.2712,9.2712,9.0346,9.1485,7587610
2021-03-15,9.0872,9.2887,8.9031,9.0609,10666005
2021-03-16,9.0872,9.6918,8.947,9.3413,16635301
2021-03-17,9.3325,9.4464,9.2011,9.3588,8989495
2021-03-18,9.2887,9.3763,9.1485,9.2011,7409280
2021-03-19,9.1485,9.2624,9.0521,9.1047,6634459
2021-03-22,9.0696,9.2098,9.0346,9.1836,5658725
2021-03-23,9.2449,9.5341,8.9908,9.0872,14280061
2021-03-24,8.947,8.9733,8.6753,8.7016,11268580
2021-03-25,8.6578,8.7016,8.4037,8.5964,7160977
2021-03-26,8.5439,8.6665,8.5176,8.6227,4517106
2021-03-29,8.7016,8.7016,8.5526,8.6841,3759020
2021-03-30,8.649,8.7454,8.5877,8.6841,4498774
2021-03-31,8.8506,9.4727,8.8506,9.3062,22249873
2021-04-01,9.1573,9.3413,9.1047,9.2537,10059581
2021-04-02,9.2098,9.2537,8.982,9.0784,9312759
2021-04-06,9.0434,9.1748,8.9908,9.0521,5254704
2021-04-07,9.2186,9.4377,9.0346,9.0696,12135042
2021-04-08,8.9995,9.0258,8.8243,8.9908,8220337
2021-04-09,8.9733,9.0609,8.8769,8.8944,5648917
2021-04-12,8.8944,8.9733,8.8506,8.9031,5327286
2021-04-13,8.8681,8.8856,8.6753,8.7805,5845684
2021-04-14,8.7542,8.8593,8.7367,8.833,3944175
2021-04-15,8.7629,9.131,8.6928,9.0258,11934109
2021-04-16,8.9908,9.1485,8.9382,9.0784,11432358
2021-04-19,9.0258,9.1836,8.9733,9.1047,9419837
2021-04-20,9.1047,9.2712,9.0258,9.1923,9216616
2021-04-21,9.1836,9.2274,8.947,9.0609,8184907
2021-04-22,9.0609,9.1222,8.982,9.0872,5527752
2021-04-23,9.0696,9.0696,8.7629,8.7892,8458425
2021-04-26,8.9119,8.9557,8.8068,8.8506,6405990
2021-04-27,8.6052,8.6315,7.9655,8.0093,22975393
2021-04-28,7.9743,8.0531,7.8341,8.0006,8818322
2021-04-29,7.9392,7.9567,7.8428,7.8516,7114003
2021-04-30,7.8604,7.8954,7.7815,7.8078,4050346
2021-05-06,7.799,7.9305,7.7289,7.8078,6523055
2021-05-07,7.8341,7.8691,7.764,7.799,4488088
2021-05-10,7.7552,7.8253,7.7026,7.8165,3660188
2021-05-11,7.799,7.8253,7.5975,7.6939,7470662
2021-05-12,7.7114,7.8253,7.6763,7.8253,4193930
2021-05-13,7.8516,7.8866,7.6939,7.7377,5646227
2021-05-14,7.7552,7.8253,7.7026,7.8253,4402970
2021-05-17,7.8428,7.8779,7.7815,7.8253,4794422
2021-05-18,7.7903,7.7903,7.6413,7.7289,4710831
2021-05-19,7.6939,7.6939,7.6413,7.6763,3143060
2021-05-20,7.65,7.9655,7.6062,7.8341,8047715
2021-05-21,7.7815,7.8341,7.7289,7.799,3761740
2021-05-24,7.799,7.799,7.1418,7.6763,4787445
2021-05-25,7.6939,7.7026,7.5537,7.6238,5560727
2021-05-26,7.65,7.7903,7.5887,7.764,5305343
2021-05-27,7.7289,7.8866,7.6851,7.7026,7209493
2021-05-28,7.7026,7.7114,7.6238,7.6325,4809995
2021-05-31,7.6325,7.7026,7.5799,7.6413,6102591
2021-06-01,7.6323,7.6502,7.5248,7.5875,8216376
2021-06-02,7.5786,7.5786,7.4621,7.4621,4862687
2021-06-03,7.4711,7.5159,7.4352,7.4711,4839545
2021-06-04,7.48,7.5069,7.4352,7.4532,3863230
2021-06-07,7.4532,7.4711,7.4084,7.4352,4414778
2021-06-08,7.4352,7.489,7.4084,7.4711,2970302
2021-06-09,7.4711,7.5159,7.4352,7.498,2725950
2021-06-10,7.5069,7.5338,7.4621,7.5159,2786232
2021-06-11,7.5159,7.5338,7.4442,7.4621,2623400
2021-06-15,7.4621,7.4711,7.3367,7.3546,3020170
2021-06-16,7.3546,7.3546,7.2561,7.265,3083390
2021-06-17,7.265,7.3009,7.2113,7.2292,2691000
2021-06-18,7.2292,7.265,7.1844,7.2471,2303810
2021-06-21,7.265,7.2919,7.1844,7.2203,3936196
2021-06-22,7.2113,7.4352,7.2113,7.3278,5007159
2021-06-23,7.3546,7.3725,7.3009,7.3546,2963420
2021-06-24,7.3815,7.4084,7.3188,7.3905,2887280
2021-06-25,7.5338,7.6502,7.5069,7.6323,11400511
2021-06-28,7.6592,7.7667,7.6592,7.7577,10428007
2021-06-29,7.6234,7.6234,7.4084,7.4263,8316578
2021-06-30,7.4084,7.4442,7.3546,7.4352,2606477
2021-07-01,7.4352,7.4532,7.3457,7.3457,2869301
2021-07-02,7.3457,7.4173,7.2561,7.274,3210134
2021-07-05,7.2561,7.3278,7.2382,7.2919,2306531
2021-07-06,7.274,7.3188,7.2382,7.3098,2210142
2021-07-07,7.283,7.3546,7.283,7.3278,1912570
2021-07-08,7.3278,7.3367,7.2561,7.265,2768238
2021-07-09,7.274,7.4084,7.2471,7.3905,3027446
2021-07-12,7.4442,7.5069,7.3905,7.4084,3633032
2021-07-13,7.4173,7.4263,7.3546,7.4084,2469540
2021-07-14,7.3994,7.4084,7.3188,7.3278,2869804
2021-07-15,7.3188,7.3278,7.2382,7.3278,2457824
2021-07-16,7.3098,7.3457,7.274,7.3188,1953140
2021-07-19,7.3009,7.3636,7.283,7.3457,1906200
2021-07-20,7.3278,7.3278,7.283,7.3098,1742270
2021-07-21,7.2919,7.3636,7.2919,7.3278,2618975
2021-07-22,7.3367,7.4263,7.2919,7.4263,5671838
2021-07-23,7.4263,7.498,7.3546,7.4711,7077993
2021-07-26,7.4711,7.4711,7.2471,7.2919,5394158
2021-07-27,7.283,7.3098,7.1396,7.1486,4566310
2021-07-28,7.1486,7.1486,6.8351,6.9067,4824127
2021-07-29,6.9426,7.0142,6.9067,6.9336,2166346
2021-07-30,6.9246,6.9246,6.8261,6.8798,3524605
2021-08-02,6.8351,6.9694,6.6738,6.9157,5593349
2021-08-03,6.9246,7.0321,6.8798,6.9694,3478052
2021-08-04,6.9873,6.9873,6.853,6.8798,3749819
2021-08-05,6.8619,6.8798,6.7634,6.7992,4693414
2021-08-06,6.7992,6.8261,6.7455,6.7813,2462495
2021-08-09,6.7365,6.8798,6.7276,6.8798,2839455
2021-08-10,6.853,6.8709,6.8171,6.844,2771720
2021-08-11,6.8798,6.9426,6.853,6.9157,3234773
2021-08-12,6.9157,6.9515,6.8798,6.9246,2756360
2021-08-13,6.9246,6.9873,6.8978,6.9336,3065330
2021-08-16,6.9067,6.9784,6.8619,6.9694,2922990
2021-08-17,6.9605,6.9694,6.7992,6.8082,3606910
2021-08-18,6.7903,6.844,6.7723,6.8351,2290657
2021-08-19,6.8261,6.8261,6.7813,6.7992,2095341
2021-08-20,6.7992,6.8082,6.7096,6.7544,3217367
2021-08-23,6.7634,6.853,6.7634,6.844,2379800
2021-08-24,6.8171,6.8798,6.8082,6.8619,3429622
2021-08-25,6.844,6.8888,6.8082,6.8798,2810223
2021-08-26,6.8619,6.9784,6.8351,6.9157,4523977
2021-08-27,6.9157,7.0321,6.9067,7.0232,5185375
2021-08-30,7.1038,7.1038,6.9157,6.9336,4981060
2021-08-31,6.9157,6.9784,6.9157,6.9784,2745154
2021-09-01,6.9784,7.3725,6.9784,7.3278,11462215
2021-09-02,7.4532,7.4532,7.2203,7.3367,10718141
2021-09-03,7.4352,7.5965,7.3546,7.4173,13374805
2021-09-06,7.3725,7.4263,7.283,7.3636,7841973
2021-09-07,7.3815,7.48,7.3725,7.4173,5803879
2021-09-08,7.3994,7.4532,7.3546,7.4352,6734108
2021-09-09,7.4173,7.7488,7.3994,7.7309,15670402
2021-09-10,7.7309,7.7846,7.5248,7.5965,9425327
2021-09-13,7.6861,7.8204,7.6323,7.7219,8857106
2021-09-14,7.704,7.7846,7.5069,7.5517,7817664
2021-09-15,7.5159,7.6502,7.4532,7.5786,4113060
