Date,Open,High,Low,Close,Volume
2021-01-04,3.9196,4.1834,3.9196,4.0609,62022853
2021-01-05,4.0326,4.3436,3.9101,4.2211,93910582
2021-01-06,4.0703,4.0797,3.8536,3.863,64845316
2021-01-07,3.8253,3.9761,3.7782,3.7971,37317525
2021-01-08,3.7594,3.7688,3.5615,3.684,31051516
2021-01-11,3.6557,3.684,3.4861,3.5333,29323333
2021-01-12,3.5238,3.684,3.4956,3.5898,26896947
2021-01-13,3.5804,3.6652,3.5238,3.5992,27249011
2021-01-14,3.5709,3.7311,3.5427,3.684,29433410
2021-01-15,3.6652,3.684,3.5898,3.6275,19073200
2021-01-18,3.6463,3.7782,3.5898,3.7217,26407640
2021-01-19,3.684,3.6934,3.5992,3.6369,19770754
2021-01-20,3.5992,3.6086,3.5615,3.5898,11279608
2021-01-21,3.5804,3.6181,3.5427,3.6086,12896261
2021-01-22,3.6086,3.6463,3.5238,3.5615,15860342
2021-01-25,3.6181,3.7405,3.5709,3.5992,17813607
2021-01-26,3.5521,3.5898,3.4861,3.505,11825900
2021-01-27,3.505,3.5521,3.4861,3.5521,10065182
2021-01-28,3.5521,3.5521,3.439,3.439,12852488
2021-01-29,3.4485,3.4767,3.3071,3.326,13021437
2021-02-01,3.3354,3.3637,3.2789,3.3354,7187984
2021-02-02,3.3354,3.4013,3.3166,3.3637,7708100
2021-02-03,3.3731,3.3731,3.2977,3.3071,6643889
2021-02-04,3.2977,3.2977,3.1564,3.2035,11021500
2021-02-05,3.2035,3.2506,3.1846,3.2035,6272873
2021-02-08,3.2129,3.26,3.2129,3.2318,6447901
2021-02-09,3.2506,3.3071,3.2129,3.2883,9553344
2021-02-10,3.2977,3.3071,3.26,3.2883,6932159
2021-02-18,3.326,3.4013,3.326,3.3825,12014875
2021-02-19,3.3542,3.505,3.3542,3.4861,13524248
2021-02-22,3.4861,3.6275,3.4861,3.5427,19510507
2021-02-23,3.5521,3.5898,3.4956,3.5333,9997953
2021-02-24,3.5238,3.5992,3.4861,3.5427,12935160
2021-02-25,3.5615,3.5804,3.5144,3.5521,10303289
2021-02-26,3.4956,3.5615,3.4861,3.5521,7636936
2021-03-01,3.5615,3.6086,3.5521,3.6086,11746626
2021-03-02,3.6086,3.6181,3.5427,3.5709,9597923
2021-03-03,3.5521,3.5992,3.5521,3.5898,9090500
2021-03-04,3.5898,3.7405,3.5709,3.6652,23715964
2021-03-05,3.6369,3.863,3.6275,3.7594,32870173
2021-03-08,3.7594,3.7782,3.6557,3.6557,22598621
2021-03-09,3.6557,4.0138,3.5238,3.7782,46556347
2021-03-10,3.7217,3.7405,3.5898,3.6275,26679751
2021-03-11,3.6275,3.7123,3.5898,3.684,19995389
2021-03-12,3.6557,3.7405,3.6275,3.684,18486135
2021-03-15,3.6934,3.8348,3.6746,3.7877,26754460
2021-03-16,3.8065,3.8348,3.7405,3.7594,19783421
2021-03-17,3.7688,3.8536,3.7405,3.7877,18922912
2021-03-18,3.8065,3.8253,3.6934,3.7123,18106308
2021-03-19,3.684,3.7123,3.6086,3.6275,15525102
2021-03-22,3.6369,3.8536,3.6181,3.7688,20678602
2021-03-23,3.7688,3.8065,3.6746,3.684,18363202
2021-03-24,3.6463,3.6934,3.6275,3.6275,12540632
2021-03-25,3.6275,3.7029,3.5992,3.6557,11302324
2021-03-26,3.6369,3.6746,3.6086,3.6369,10772654
2021-03-29,3.6746,3.7782,3.6369,3.7217,26220581
2021-03-30,3.7123,3.7311,3.6463,3.6746,11350400
2021-03-31,3.6934,3.9478,3.6746,3.8442,50638457
2021-04-01,3.8253,3.8819,3.7688,3.8725,30468806
2021-04-02,3.863,3.8819,3.7405,3.7782,21611294
2021-04-06,3.7594,3.7782,3.7217,3.7688,12133800
2021-04-07,3.9384,3.9949,3.8065,3.8442,26439776
2021-04-08,3.8065,3.8348,3.7594,3.7782,18491437
2021-04-09,3.75,3.8913,3.7311,3.7782,18097777
2021-04-12,3.7877,3.9101,3.7594,3.8442,31486123
2021-04-13,3.8253,3.9101,3.8065,3.8065,18882741
2021-04-14,3.7877,3.8819,3.75,3.8536,19974586
2021-04-15,3.8348,3.8536,3.7782,3.8065,11161825
2021-04-16,3.8065,3.8819,3.7877,3.863,15870400
2021-04-19,3.863,3.8913,3.8253,3.8442,16443635
2021-04-20,3.8442,3.863,3.75,3.7688,16589991
2021-04-21,3.7594,3.7594,3.6557,3.684,15466541
2021-04-22,3.6746,3.7123,3.6557,3.6746,8476322
2021-04-23,3.6652,3.6746,3.5804,3.6275,12355835
2021-04-26,3.5992,3.6463,3.5804,3.6086,8540502
2021-04-27,3.6275,3.6369,3.5144,3.5521,11912300
2021-04-28,3.5427,3.5615,3.5144,3.5333,5327036
2021-04-29,3.5333,3.5804,3.505,3.5427,7112813
2021-04-30,3.5238,3.5333,3.4485,3.4767,9855638
2021-05-06,3.4956,3.5804,3.4956,3.5238,11149000
2021-05-07,3.5238,3.5992,3.5238,3.5709,10177182
2021-05-10,3.6275,3.6275,3.5521,3.5898,9408683
2021-05-11,3.5615,3.5898,3.5427,3.5898,6890855
2021-05-12,3.5898,3.6275,3.5615,3.6275,7275009
2021-05-13,3.5992,3.6275,3.5333,3.5615,8441309
2021-05-14,3.5521,3.5992,3.5144,3.5898,7392268
2021-05-17,3.5804,3.5898,3.5333,3.5427,7072251
2021-05-18,3.5332,3.5711,3.5143,3.5522,6221868
2021-05-19,3.5522,3.5522,3.4858,3.5048,7374663
2021-05-20,3.5048,3.5048,3.3911,3.4195,11434648
2021-05-21,3.4195,3.4764,3.4101,3.448,6731886
2021-05-24,3.4385,3.4764,3.4385,3.4669,5025065
2021-05-25,3.4669,3.4858,3.4195,3.4764,6161496
2021-05-26,3.4764,3.4858,3.4385,3.4858,5796936
2021-05-27,3.4764,3.5143,3.4669,3.4953,6284880
2021-05-28,3.5048,3.5427,3.4764,3.5143,8651820
2021-05-31,3.5143,3.5237,3.4669,3.4764,6031245
2021-06-01,3.4858,3.5048,3.4669,3.4953,6095248
2021-06-02,3.4953,3.5143,3.4669,3.4858,5719463
2021-06-03,3.4764,3.5806,3.4669,3.5522,14318706
2021-06-04,3.5237,3.5332,3.4858,3.4858,8040020
2021-06-07,3.4764,3.5143,3.448,3.4669,7069732
2021-06-08,3.4669,3.4764,3.448,3.4669,3925256
2021-06-09,3.4574,3.4858,3.448,3.4764,2826600
2021-06-10,3.4764,3.4953,3.4669,3.4858,5919360
2021-06-11,3.4858,3.4953,3.4574,3.4574,5644216
2021-06-15,3.4574,3.4669,3.3911,3.4006,6825530
2021-06-16,3.4006,3.4195,3.3816,3.3911,3953900
2021-06-17,3.4101,3.4385,3.3911,3.4195,4166489
2021-06-18,3.4195,3.4195,3.3911,3.4101,3651801
2021-06-21,3.3911,3.4101,3.3911,3.4101,2943500
2021-06-22,3.4101,3.4669,3.4006,3.448,6299481
2021-06-23,3.448,3.5522,3.429,3.5143,14704690
2021-06-24,3.5427,3.5522,3.4764,3.5048,8705945
2021-06-25,3.4858,3.5237,3.4764,3.5048,5518700
2021-06-28,3.4953,3.5048,3.448,3.4669,6405600
2021-06-29,3.4764,3.4764,3.4574,3.4764,4297763
2021-06-30,3.4669,3.4953,3.4385,3.4669,4410200
2021-07-01,3.448,3.4669,3.4101,3.4101,4575300
2021-07-02,3.4195,3.429,3.3816,3.4006,3808033
2021-07-05,3.4006,3.448,3.3911,3.4385,3936736
2021-07-06,3.429,3.448,3.4195,3.429,3674972
2021-07-07,3.429,3.4669,3.4195,3.4574,5884415
2021-07-08,3.4669,3.4764,3.4101,3.429,4899500
2021-07-09,3.4385,3.4574,3.4006,3.4574,5403484
2021-07-12,3.4574,3.4764,3.4385,3.448,5854466
2021-07-13,3.448,3.4574,3.4195,3.448,4182484
2021-07-14,3.429,3.4574,3.4101,3.4101,4329500
2021-07-15,3.4006,3.4195,3.3911,3.4006,4623438
2021-07-16,3.4101,3.4101,3.3816,3.3911,5507038
2021-07-19,3.3816,3.3911,3.3438,3.3627,3961400
2021-07-20,3.3438,3.3722,3.3438,3.3722,2406164
2021-07-21,3.3816,3.3816,3.3438,3.3627,4165958
2021-07-22,3.3532,3.4006,3.3438,3.3911,4570823
2021-07-23,3.3816,3.5143,3.3532,3.4764,16445976
2021-07-26,3.448,3.4574,3.3627,3.3816,10217484
2021-07-27,3.3722,3.3911,3.3343,3.3343,5960361
2021-07-28,3.3248,3.3343,3.2301,3.2775,5733529
2021-07-29,3.2869,3.3248,3.268,3.2964,3453000
2021-07-30,3.2869,3.3059,3.249,3.2869,3555252
2021-08-02,3.2775,3.3248,3.249,3.3248,4324454
2021-08-03,3.3153,3.3911,3.2964,3.3248,7460606
2021-08-04,3.3153,3.3343,3.2869,3.3153,4123061
2021-08-05,3.2869,3.3153,3.2301,3.249,8037726
2021-08-06,3.249,3.2869,3.2396,3.268,3932661
2021-08-09,3.268,3.3248,3.268,3.3248,5650196
2021-08-10,3.3153,3.3248,3.2869,3.3153,4767328
2021-08-11,3.3059,3.3248,3.2964,3.3059,5702961
2021-08-12,3.3059,3.3722,3.2964,3.3532,9275095
2021-08-13,3.3532,3.3722,3.3248,3.3438,5696211
2021-08-16,3.3438,3.3627,3.3343,3.3438,4592000
2021-08-17,3.3532,3.3532,3.2301,3.268,7372402
2021-08-18,3.268,3.3248,3.2585,3.3153,3942907
2021-08-19,3.3153,3.3532,3.2869,3.3438,6851259
2021-08-20,3.3438,3.3438,3.2964,3.3343,5066132
2021-08-23,3.3343,3.4385,3.3248,3.3816,10453262
2021-08-24,3.3722,3.4101,3.3627,3.3816,7120169
2021-08-25,3.3911,3.429,3.3627,3.429,9283207
