Date,Open,High,Low,Close,Volume
2021-01-04,8.7788,9.2323,8.6625,9.052,37365484
2021-01-05,8.9823,8.9823,8.5288,8.8079,42834307
2021-01-06,8.7904,9.6276,8.7148,9.4125,75753562
2021-01-07,9.4183,9.8718,9.1392,9.7613,71732702
2021-01-08,9.8195,9.8834,9.2904,9.5578,44882933
2021-01-11,9.7381,10.0113,8.8951,9.0172,56452230
2021-01-12,8.8486,9.0113,8.6102,8.9067,33970122
2021-01-13,8.9009,9.4067,8.8486,9.2265,34389949
2021-01-14,9.273,9.273,8.8137,8.8544,28558161
2021-01-15,8.8079,9.2613,8.7497,9.1044,28342879
2021-01-18,9.052,9.8136,8.9939,9.6102,48034216
2021-01-19,9.6509,9.8136,9.2206,9.2962,34132665
2021-01-20,9.2846,9.4474,9.1218,9.4125,24702613
2021-01-21,9.4125,10.0462,9.3253,9.7148,60849874
2021-01-22,9.7555,10.6857,9.6043,10.6857,87725631
2021-01-25,10.8485,11.0113,10.3485,10.8427,79061963
2021-01-26,10.6915,10.7264,10.0462,10.2148,56283779
2021-01-27,9.9706,10.1392,9.4474,9.6974,55237950
2021-01-28,9.4067,9.4241,8.7265,8.7497,64829956
2021-01-29,8.8253,8.866,8.0695,8.4997,57104481
2021-02-01,8.5114,8.7788,8.18,8.6102,33628420
2021-02-02,8.6334,8.7032,8.3195,8.4125,26950297
2021-02-03,8.43,8.4648,7.9823,8.2032,27888122
2021-02-04,8.1393,8.1974,7.7323,7.8486,30289908
2021-02-05,7.8835,8.0114,7.587,7.6044,20094875
2021-02-08,7.6219,7.8428,7.5637,7.6567,18502614
2021-02-09,7.7498,8.2556,7.7498,8.1858,27175161
2021-02-10,8.1335,8.4125,7.9067,8.4009,21986497
2021-02-18,8.6276,8.7672,8.4125,8.6044,25514184
2021-02-19,8.6044,8.7788,8.3253,8.5172,19561667
2021-02-22,8.5462,8.9474,8.4997,8.6567,28276790
2021-02-23,8.5462,8.6683,8.4416,8.5404,13378184
2021-02-24,8.5869,8.7614,8.4532,8.5695,14357845
2021-02-25,8.6625,8.709,8.3893,8.4474,15363857
2021-02-26,8.3718,8.4765,8.1916,8.3602,13840919
2021-03-01,8.4125,8.6393,8.4009,8.5869,14593238
2021-03-02,8.6683,8.7148,8.2614,8.3428,15550592
2021-03-03,8.273,8.4707,8.2265,8.4183,12583648
2021-03-04,8.4009,8.4009,8.1683,8.273,12414650
2021-03-05,8.1742,8.3718,8.1683,8.3195,10014833
2021-03-08,8.3195,8.5346,8.1509,8.1858,13516064
2021-03-09,8.1858,8.4242,8.0172,8.2323,17663152
2021-03-10,8.2439,8.3079,8.0346,8.0695,11829094
2021-03-11,8.0695,8.2149,8.0172,8.1974,12922829
2021-03-12,8.1974,8.2788,8.0928,8.2032,9304582
2021-03-15,8.1277,8.459,8.087,8.4009,14886721
2021-03-16,8.4009,8.4358,8.2614,8.3428,9023409
2021-03-17,8.3195,8.6451,8.1742,8.4997,15221674
2021-03-18,8.4532,8.5869,8.3486,8.5637,14397767
2021-03-19,8.459,8.4997,8.2904,8.3369,12842270
2021-03-22,8.3195,8.6625,8.3195,8.5055,12217208
2021-03-23,8.5462,8.6044,8.3253,8.4648,12620035
2021-03-24,8.4242,8.5928,8.3718,8.4823,11601179
2021-03-25,8.4416,8.5637,8.3602,8.4358,7552199
2021-03-26,8.5172,8.6625,8.4648,8.5637,16979462
2021-03-29,8.6218,8.6858,8.5521,8.6334,13288020
2021-03-30,8.6509,8.6625,8.2032,8.4939,17562357
2021-03-31,8.5462,9.3427,8.5404,9.2962,54110317
2021-04-01,9.4183,9.9822,9.2846,9.4183,48887177
2021-04-02,9.6102,9.6509,9.0172,9.0927,30515570
2021-04-06,9.1276,9.1974,8.8486,9.0055,19882208
2021-04-07,9.5578,9.866,9.4241,9.5404,58841793
