Date,Open,High,Low,Close,Volume
2021-01-04,4.065,4.1004,4.0474,4.065,10299071
2021-01-05,4.3832,4.4627,4.0032,4.3832,43046811
2021-01-06,4.2683,4.3743,4.2418,4.2683,21642185
2021-01-07,4.1711,4.2948,4.1357,4.1711,12984601
2021-01-08,4.2064,4.2683,4.0827,4.2064,13744378
2021-01-11,4.0915,4.2241,4.0474,4.0915,13421806
2021-01-12,4.0827,4.1269,4.0474,4.0827,9853239
2021-01-13,4.1534,4.1711,4.0208,4.1534,15868772
2021-01-14,4.1887,4.2418,4.1181,4.1887,13635903
2021-01-15,4.1711,4.2329,4.1269,4.1711,13127002
2021-01-18,4.1711,4.286,4.1446,4.1711,25040886
2021-01-19,4.1004,4.1799,4.0827,4.1004,14853660
2021-01-20,4.1004,4.1357,4.0739,4.1004,7465895
2021-01-21,4.1446,4.1622,4.0739,4.1446,18194677
2021-01-22,4.0385,4.1446,4.0208,4.0385,13423640
2021-01-25,3.9413,4.0474,3.9236,3.9413,15147798
2021-01-26,3.9943,4.0385,3.9148,3.9943,11051396
2021-01-27,3.9855,4.0474,3.9767,3.9855,7172502
2021-01-28,3.9943,4.0208,3.9325,3.9943,7504618
2021-01-29,3.9236,3.9943,3.8971,3.9236,7615177
2021-02-01,4.012,4.0385,3.9767,4.012,9843936
2021-02-02,3.9325,4.0385,3.9325,3.9325,8257170
2021-02-03,3.8883,3.9501,3.8618,3.8883,8334163
2021-02-04,3.8529,3.8883,3.7822,3.8529,8172527
2021-02-05,3.8353,3.8971,3.7999,3.8353,5215770
2021-02-08,3.906,3.959,3.8264,3.906,6613256
2021-02-09,3.9236,3.9413,3.8706,3.9236,6168295
2021-02-10,3.9148,3.9413,3.8971,3.9148,5213022
2021-02-18,3.9767,4.0032,3.9413,3.9767,7690467
2021-02-19,4.0739,4.0827,3.9767,4.0739,12204086
2021-02-22,4.1446,4.2329,4.0739,4.1446,17973413
2021-02-23,4.2064,4.2771,4.1357,4.2064,17033601
2021-02-24,4.1622,4.2418,4.1357,4.1622,12986834
2021-02-25,4.2418,4.286,4.1711,4.2418,15590811
2021-02-26,4.1887,4.2771,4.1887,4.1887,12172906
2021-03-01,4.2683,4.286,4.1976,4.2683,10151979
2021-03-02,4.2594,4.3125,4.2153,4.2594,10886572
2021-03-03,4.3036,4.3301,4.2418,4.3036,10109660
2021-03-04,4.2771,4.339,4.2506,4.2771,13833941
2021-03-05,4.286,4.3213,4.2506,4.286,9210559
2021-03-08,4.3036,4.3655,4.2771,4.3036,13981460
2021-03-09,4.3478,4.445,4.2418,4.3478,19931562
2021-03-10,4.2241,4.5069,4.1887,4.2241,29728502
2021-03-11,4.3213,4.3832,4.1711,4.3213,18373806
2021-03-12,4.3478,4.3655,4.2683,4.3478,12940968
2021-03-15,4.3567,4.4097,4.2771,4.3567,14517719
2021-03-16,4.3743,4.4362,4.3125,4.3743,13947287
2021-03-17,4.3478,4.4008,4.3125,4.3478,10455461
2021-03-18,4.339,4.3743,4.3036,4.339,10928729
2021-03-19,4.4715,4.6659,4.2948,4.4715,38913838
2021-03-22,4.4804,4.6041,4.4539,4.4804,18860602
2021-03-23,4.4185,4.5157,4.392,4.4185,14162786
2021-03-24,4.4185,4.5334,4.392,4.4185,14033805
2021-03-25,4.339,4.4539,4.3301,4.339,10015000
2021-03-26,4.4185,4.4627,4.3478,4.4185,12034916
2021-03-29,4.5246,4.6483,4.3743,4.5246,23480402
2021-03-30,4.4892,4.5687,4.4627,4.4892,11305380
2021-03-31,4.5334,4.5687,4.4715,4.5334,12521002
2021-04-01,4.5599,4.6748,4.5157,4.5599,14028735
2021-04-02,4.4892,4.5776,4.4715,4.4892,8480500
2021-04-06,4.5599,4.5864,4.4715,4.5599,9580369
2021-04-07,4.5864,4.6041,4.5334,4.5864,9675098
2021-04-08,4.4715,4.5776,4.4539,4.4715,17499590
2021-04-09,4.445,4.5246,4.4185,4.445,10511195
2021-04-12,4.8869,4.8869,4.4539,4.8869,88493473
2021-04-13,4.9045,5.0194,4.8162,4.9045,61980665
2021-04-14,4.8869,5.0194,4.8515,4.8869,34864879
2021-04-15,4.9841,5.0901,4.9311,4.9841,28115000
2021-04-16,5.1785,5.3287,4.9664,5.1785,34878038
2021-04-19,5.0283,5.2845,4.9752,5.0283,41846667
2021-04-20,5.0283,5.099,4.9487,5.0283,18917033
2021-04-21,4.9487,5.0813,4.9134,4.9487,16601555
2021-04-22,4.8604,5.1431,4.8338,4.8604,20803660
2021-04-23,4.825,4.8957,4.7543,4.825,16556628
2021-04-26,4.7897,4.8957,4.7543,4.7897,14540616
2021-04-27,4.7543,4.9399,4.7455,4.7543,16441205
2021-04-28,4.7985,4.9399,4.7366,4.7985,18044300
2021-04-29,4.7632,4.878,4.6659,4.7632,17035132
2021-04-30,4.6836,4.7543,4.5687,4.6836,23064329
2021-05-06,4.7543,4.8604,4.6571,4.7543,18676706
2021-05-07,4.8162,4.8957,4.7543,4.8162,14846975
2021-05-10,4.7013,4.8427,4.6571,4.7013,17146984
2021-05-11,4.9222,5.0194,4.7101,4.9222,29441946
2021-05-12,4.8515,4.9222,4.7897,4.8515,16813000
2021-05-13,4.7278,4.8338,4.6925,4.7278,14034948
2021-05-14,4.6483,4.7808,4.6218,4.6483,17246684
2021-05-17,4.6129,4.6748,4.5776,4.6129,14478794
2021-05-18,4.6218,4.6659,4.5864,4.6218,10713758
2021-05-19,4.6218,4.6571,4.5687,4.6218,8605670
2021-05-20,4.5246,4.6306,4.4715,4.5246,15770202
2021-05-21,4.5069,4.5422,4.4539,4.5069,11117540
2021-05-24,4.498,4.5687,4.4715,4.498,10032116
2021-05-25,4.4804,4.5334,4.445,4.4804,12891794
2021-05-26,4.498,4.5157,4.4539,4.498,9738013
2021-05-27,4.4715,4.5246,4.4627,4.4715,10328677
2021-05-28,4.4627,4.5246,4.4539,4.4627,11743937
2021-05-31,4.4715,4.4892,4.4008,4.4715,13960115
2021-06-01,4.4273,4.4715,4.4008,4.4273,13011300
2021-06-02,4.445,4.4627,4.3832,4.445,10206583
2021-06-03,4.4892,4.5157,4.4097,4.4892,17535994
2021-06-04,4.3743,4.4804,4.3655,4.3743,17148360
2021-06-07,4.3832,4.4185,4.3567,4.3832,8945828
2021-06-08,4.5157,4.5511,4.3567,4.5157,20273220
2021-06-09,4.4627,4.5246,4.4539,4.4627,9825802
2021-06-10,4.4627,4.4892,4.4273,4.4627,7256219
2021-06-11,4.4185,4.4804,4.4097,4.4185,9711751
2021-06-15,4.4804,4.4892,4.3743,4.4804,11807875
2021-06-16,4.3743,4.4804,4.3478,4.3743,10884600
2021-06-17,4.2948,4.4273,4.2771,4.2948,14797387
2021-06-18,4.3213,4.339,4.2506,4.3213,10352858
2021-06-21,4.339,4.3743,4.286,4.339,7825887
2021-06-22,4.4715,4.6218,4.3213,4.4715,27769313
2021-06-23,4.6041,4.6306,4.445,4.6041,22060715
2021-06-24,4.5687,4.6306,4.5511,4.5687,14105207
2021-06-25,4.5511,4.6218,4.5246,4.5511,12031161
2021-06-28,4.5776,4.6129,4.5511,4.5776,8820130
2021-06-29,4.5511,4.6129,4.5511,4.5511,8212439
2021-06-30,4.7101,5.0018,4.6394,4.7101,31206273
2021-07-01,4.5422,4.7543,4.5069,4.5422,19643870
2021-07-02,4.719,4.7897,4.498,4.719,26354123
2021-07-05,4.8073,4.8604,4.6659,4.8073,19836804
2021-07-06,4.8515,4.8692,4.7455,4.8515,18675308
2021-07-07,4.8692,4.9752,4.8073,4.8692,24473813
2021-07-08,4.7897,4.9222,4.772,4.7897,14985640
2021-07-09,4.8162,4.825,4.7455,4.8162,11373920
2021-07-12,4.7632,4.878,4.719,4.7632,12922449
2021-07-13,4.772,4.825,4.7013,4.772,12393881
2021-07-14,4.763,4.8796,4.7451,4.763,11393180
2021-07-15,4.763,4.7989,4.6733,4.763,13235790
2021-07-16,4.8527,4.9155,4.7451,4.8527,15909099
2021-07-19,5.0142,5.1128,4.8527,5.0142,30498082
2021-07-20,4.9514,5.0052,4.8886,4.9514,17724584
2021-07-21,4.9065,5.0231,4.8438,4.9065,18850322
2021-07-22,5.0411,5.1308,4.8527,5.0411,23464386
2021-07-23,5.059,5.1936,4.9962,5.059,19731069
2021-07-26,4.9783,5.0949,4.9424,4.9783,17730439
2021-07-27,4.9604,5.1398,4.9604,4.9604,19162287
